"","AreaName","Year","RentalRates","LandValue","CA1_3X1","CA1_3X2","CA1_3X3","CA04X12","CA04X7010","CA34X30","CA45X130","CA45X150","CA45X370","Inflation","Interest","GDPGrowth"
"237","Guthrie",2002,119,1742,304100,11227,27086,13043,5123,21606,8288,112278,13309,0.0159,4.61,1.827997979
"238","Hamilton",2002,130,2535,425322,16337,26034,23192,11058,25457,7756,222013,23823,0.0159,4.61,1.827997979
"239","Hancock",2002,125,2239,344857,11846,29112,25078,10487,28745,7319,126316,25265,0.0159,4.61,1.827997979
"240","Hardin",2002,130,2219,481464,18476,26059,46355,10851,24832,7848,209646,46895,0.0159,4.61,1.827997979
"241","Harrison",2002,127,1897,422603,15421,27404,27843,6692,22797,7745,100667,28079,0.0159,4.61,1.827997979
"242","Henry",2002,123,2219,503235,20086,25054,9591,13682,28304,7453,80470,9697,0.0159,4.61,1.827997979
"243","Howard",2002,107,1812,254384,9860,25800,19093,6714,23404,7639,102764,19282,0.0159,4.61,1.827997979
"244","Humboldt",2002,130,2464,288460,10176,28347,26655,6526,24040,5700,80643,26806,0.0159,4.61,1.827997979
"245","Ida",2002,143,2371,219783,7636,28782,29244,5194,25863,5940,90095,29377,0.0159,4.61,1.827997979
"246","Iowa",2002,130,1855,510234,15911,32068,38615,13817,27890,8957,104547,38846,0.0159,4.61,1.827997979
"247","Jackson",2002,138,2033,485298,20142,24094,10098,10600,20673,9773,116125,10239,0.0159,4.61,1.827997979
"248","Jasper",2002,140,2027,1059764,37552,28221,36035,20211,30713,8345,128251,36261,0.0159,4.61,1.827997979
"249","Jefferson",2002,118,1593,417544,16131,25885,4051,11537,27242,6958,57069,4132,0.0159,4.61,1.827997979
"250","Johnson",2002,127,2466,3528434,114948,30696,14848,92371,29541,7613,108410,15081,0.0159,4.61,1.827997979
"251","Jones",2002,138,2566,477472,20283,23541,25846,9213,22888,8439,112324,26075,0.0159,4.61,1.827997979
"252","Keokuk",2002,119,1899,288734,11330,25484,13936,5047,23218,10899,101155,14075,0.0159,4.61,1.827997979
"253","Kossuth",2002,127,2557,466087,16670,27960,41812,10277,23541,13607,243964,42170,0.0159,4.61,1.827997979
"254","Lee",2002,101,1758,940028,36960,25434,10700,21523,28264,5819,64716,10822,0.0159,4.61,1.827997979
"255","Linn",2002,128,2686,6253102,195987,31906,18018,139915,34219,7677,106120,18229,0.0159,4.61,1.827997979
"256","Louisa",2002,119,1948,311450,12225,25476,15923,5647,23597,6013,65991,16089,0.0159,4.61,1.827997979
"257","Lucas",2002,94,1097,204400,9360,21838,-216,5264,25262,4479,35655,-154,0.0159,4.61,1.827997979
"258","Lyon",2002,124,2453,279641,11670,23962,24115,6060,20971,7064,237304,24392,0.0159,4.61,1.827997979
"259","Madison",2002,96,1592,395249,14312,27617,10164,6352,23183,4433,69408,10312,0.0159,4.61,1.827997979
"260","Mahaska",2002,116,1754,563448,22394,25161,17062,11571,24239,8005,129948,17258,0.0159,4.61,1.827997979
"261","Marion",2002,116,1571,852959,32572,26187,13716,22389,28738,5459,65299,13864,0.0159,4.61,1.827997979
"262","Marshall",2002,135,2622,1111028,39297,28273,19779,23501,28040,7222,133583,20158,0.0159,4.61,1.827997979
"263","Mills",2002,108,1727,492106,14546,33831,14167,5842,25773,4915,43492,14218,0.0159,4.61,1.827997979
"264","Mitchell",2002,121,2347,279192,10822,25799,28516,5860,23422,6156,142164,28843,0.0159,4.61,1.827997979
"265","Monona",2002,127,1744,255347,9791,26080,25996,5408,20651,7059,94208,26123,0.0159,4.61,1.827997979
"266","Monroe",2002,94,1043,203854,7887,25847,-1922,4527,29110,4617,51368,-1830,0.0159,4.61,1.827997979
"267","Montgomery",2002,105,1697,297466,11313,26294,23915,7118,23723,5790,73197,24209,0.0159,4.61,1.827997979
"268","Muscatine",2002,128,2332,1217625,41757,29160,11135,26659,32707,6302,72236,11256,0.0159,4.61,1.827997979
"269","O'Brien",2002,127,2670,402079,14808,27153,30824,9202,21089,7397,183081,30978,0.0159,4.61,1.827997979
"270","Osceola",2002,123,2407,168433,6899,24414,29718,3644,22534,5708,138032,29961,0.0159,4.61,1.827997979
"271","Page",2002,103,1677,400390,16506,24257,10016,8869,23569,6569,74103,10123,0.0159,4.61,1.827997979
"272","Palo Alto",2002,123,2311,235639,9896,23812,24502,5135,21906,7967,173934,24718,0.0159,4.61,1.827997979
"273","Plymouth",2002,117,2278,711626,24729,28777,44665,14722,28429,8431,248004,45035,0.0159,4.61,1.827997979
"274","Pocahontas",2002,126,2546,218571,8355,26161,36558,4363,22096,7078,117436,36726,0.0159,4.61,1.827997979
"275","Polk",2002,127,2262,13762462,384355,35807,13877,313437,36008,3714,71519,14133,0.0159,4.61,1.827997979
"276","Pottawattamie",2002,124,2055,2549116,88447,28821,28841,46384,26821,10829,154488,29009,0.0159,4.61,1.827997979
"277","Poweshiek",2002,126,1817,540700,18941,28547,21547,13407,27356,7514,99077,21776,0.0159,4.61,1.827997979
"278","Ringgold",2002,93,884,110283,5339,20656,2500,3031,20165,6782,59842,2640,0.0159,4.61,1.827997979
"279","Sac",2002,135,2494,302988,11119,27250,32896,5571,21256,7065,163227,33167,0.0159,4.61,1.827997979
"280","Scott",2002,158,3379,4957258,158086,31358,16792,103137,29906,5887,91020,16952,0.0159,4.61,1.827997979
"281","Shelby",2002,122,1989,358798,12869,27881,29262,7188,21947,7514,112802,29540,0.0159,4.61,1.827997979
"282","Sioux",2002,135,2859,855052,32164,26584,94687,22087,23497,10711,533705,95412,0.0159,4.61,1.827997979
"283","Story",2002,133,2623,2223764,81885,27157,29432,53542,27356,6713,106694,29632,0.0159,4.61,1.827997979
"284","Tama",2002,130,2153,439645,18017,24402,28457,8297,23119,10778,123290,28644,0.0159,4.61,1.827997979
"285","Taylor",2002,102,1347,146878,6813,21558,10393,3209,19094,7743,62546,10454,0.0159,4.61,1.827997979
"286","Union",2002,114,1367,282041,12163,23188,-1270,8044,23921,4563,73621,-1128,0.0159,4.61,1.827997979
"287","Van Buren",2002,101,1217,158408,7722,20514,882,3459,22350,4394,56427,983,0.0159,4.61,1.827997979
"288","Wapello",2002,121,1639,864028,35796,24138,-1492,20422,25779,4795,48860,-1437,0.0159,4.61,1.827997979
"289","Warren",2002,112,1930,1159128,41422,27983,3816,14237,24237,5324,62438,3897,0.0159,4.61,1.827997979
"290","Washington",2002,130,2375,593045,21108,28096,18631,10278,22827,10376,167336,18908,0.0159,4.61,1.827997979
"291","Wayne",2002,99,1100,142453,6665,21373,10863,3362,20061,7430,43461,10913,0.0159,4.61,1.827997979
"292","Webster",2002,127,2471,1072451,39654,27045,38773,24327,28408,8927,129072,38938,0.0159,4.61,1.827997979
"293","Winnebago",2002,117,2280,278475,11403,24421,10188,6810,21845,6812,97871,10389,0.0159,4.61,1.827997979
"294","Winneshiek",2002,124,1696,547083,21183,25827,10989,15335,24390,11755,167593,11309,0.0159,4.61,1.827997979
"295","Woodbury",2002,125,1878,2835562,102666,27619,32086,62009,27512,9711,134917,32295,0.0159,4.61,1.827997979
"296","Worth",2002,109,2027,175735,7795,22545,13256,3083,22064,5399,65225,13292,0.0159,4.61,1.827997979
"297","Wright",2002,129,2565,430532,13957,30847,53155,8002,24926,8640,178425,53689,0.0159,4.61,1.827997979
"298","Adair",2003,111,1487,219403,8050,27255,14193,5461,24544,8817,92645,14403,0.0227,4.01,2.552606148
"299","Adams",2003,114,1392,114177,4365,26157,13389,2553,22569,6601,45966,13464,0.0227,4.01,2.552606148
"300","Allamakee",2003,121,1645,353285,14345,24628,14206,9179,22451,11790,102908,14528,0.0227,4.01,2.552606148
"301","Appanoose",2003,92,1090,305003,13522,22556,3292,7548,24350,6110,32738,3330,0.0227,4.01,2.552606148
"302","Audubon",2003,129,1982,187263,6479,28903,18910,3829,22697,9592,122470,19217,0.0227,4.01,2.552606148
"303","Benton",2003,139,2777,733847,25946,28284,37084,10603,25390,14587,139945,37473,0.0227,4.01,2.552606148
"304","Black Hawk",2003,141,2967,3558270,126491,28131,11294,85979,30051,9146,117869,11785,0.0227,4.01,2.552606148
"305","Boone",2003,132,2883,788909,26232,30074,20285,13543,28778,10342,107057,20638,0.0227,4.01,2.552606148
"306","Bremer",2003,130,2647,652232,23549,27697,9920,13311,26785,9204,105695,10131,0.0227,4.01,2.552606148
"307","Buchanan",2003,142,2556,521554,20822,25048,18861,9615,24798,11523,147970,19202,0.0227,4.01,2.552606148
"308","Buena Vista",2003,137,2782,520540,20141,25845,42441,13391,23801,10835,196551,42824,0.0227,4.01,2.552606148
"309","Butler",2003,141,2536,378509,14939,25337,21548,6706,22887,11372,141114,22070,0.0227,4.01,2.552606148
"310","Calhoun",2003,131,2790,270111,10488,25754,26312,5558,21319,12490,145874,26606,0.0227,4.01,2.552606148
"311","Carroll",2003,142,2729,605504,21024,28801,35444,16308,23713,10677,267463,35935,0.0227,4.01,2.552606148
"312","Cass",2003,126,1880,387826,14275,27168,18268,8872,23845,9517,114642,18515,0.0227,4.01,2.552606148
"313","Cedar",2003,148,3027,543222,18224,29808,31024,9041,24197,12492,123213,31338,0.0227,4.01,2.552606148
"314","Cerro Gordo",2003,135,2704,1327186,45412,29225,34718,33275,27701,12040,102158,35002,0.0227,4.01,2.552606148
"315","Cherokee",2003,130,2406,356896,12579,28372,39723,8031,25185,9838,143894,39907,0.0227,4.01,2.552606148
"316","Chickasaw",2003,123,2300,316307,12770,24770,10454,7161,24253,10839,144050,10902,0.0227,4.01,2.552606148
"317","Clarke",2003,95,1116,214641,9282,23124,204,6351,25507,5329,57252,539,0.0227,4.01,2.552606148
"318","Clay",2003,124,2644,498483,16985,29348,36570,12114,26700,11877,153633,36966,0.0227,4.01,2.552606148
"319","Clayton",2003,140,2111,470251,18357,25617,25220,10668,24742,17777,176634,25648,0.0227,4.01,2.552606148
"320","Clinton",2003,162,2701,1298633,49585,26190,30089,28146,27346,14444,137275,30373,0.0227,4.01,2.552606148
"321","Crawford",2003,130,2192,426501,16953,25158,32536,10262,26023,11104,155250,32807,0.0227,4.01,2.552606148
"322","Dallas",2003,122,2634,1503585,47118,31911,20574,20224,28374,9071,107150,20983,0.0227,4.01,2.552606148
"323","Davis",2003,103,1225,171924,8534,20146,-3528,4261,21967,8484,72666,-3424,0.0227,4.01,2.552606148
"324","Decatur",2003,95,936,161497,8575,18833,2304,4334,19685,5959,52514,2394,0.0227,4.01,2.552606148
"325","Delaware",2003,151,2576,456699,18190,25107,20366,10049,25889,16616,209001,20796,0.0227,4.01,2.552606148
"326","Des Moines",2003,129,2562,1145148,41047,27898,9343,27820,29002,6007,50922,9406,0.0227,4.01,2.552606148
"327","Dickinson",2003,116,2269,561114,16339,34342,20060,12687,25756,7628,68408,20196,0.0227,4.01,2.552606148
"328","Dubuque",2003,150,2722,2562312,90012,28466,33704,61591,29657,16128,160405,34027,0.0227,4.01,2.552606148
"329","Emmet",2003,122,2698,293355,10724,27355,24786,6409,24945,8966,107966,24944,0.0227,4.01,2.552606148
"330","Fayette",2003,138,2263,480614,21604,22247,16848,11325,22728,18003,195242,17280,0.0227,4.01,2.552606148
"331","Floyd",2003,128,2307,419199,16641,25191,14883,8471,24607,11108,120019,15298,0.0227,4.01,2.552606148
"332","Franklin",2003,133,2562,293961,10655,27589,27578,6172,25994,12854,174258,27967,0.0227,4.01,2.552606148
"333","Fremont",2003,113,2052,226691,7743,29277,25373,4888,27740,10347,64932,25523,0.0227,4.01,2.552606148
"334","Greene",2003,135,2615,273260,9996,27337,31016,5339,24444,10822,117039,31301,0.0227,4.01,2.552606148
"335","Grundy",2003,155,3102,361897,12348,29308,31796,5914,27126,11471,139092,32236,0.0227,4.01,2.552606148
"336","Guthrie",2003,124,1982,310663,11343,27388,16024,5049,23446,10132,120659,16432,0.0227,4.01,2.552606148
"337","Hamilton",2003,134,2881,440277,16366,26902,26157,10947,27272,12097,234551,27061,0.0227,4.01,2.552606148
"338","Hancock",2003,130,2441,365211,11905,30677,30370,10493,28417,11384,148304,30682,0.0227,4.01,2.552606148
"339","Hardin",2003,134,2507,471861,18327,25747,45439,10459,25290,12020,232971,46220,0.0227,4.01,2.552606148
"340","Harrison",2003,131,2096,431058,15444,27911,30200,6599,23681,10533,99098,30516,0.0227,4.01,2.552606148
"341","Henry",2003,125,2391,508252,20225,25130,13603,13440,29028,8824,83908,13765,0.0227,4.01,2.552606148
"342","Howard",2003,109,1945,259134,9808,26421,13600,6692,24658,11577,111589,13886,0.0227,4.01,2.552606148
"343","Humboldt",2003,133,2669,291209,10154,28679,25852,6460,24501,9359,87857,26063,0.0227,4.01,2.552606148
"344","Ida",2003,142,2568,227957,7571,30109,32079,5092,26790,8062,97836,32293,0.0227,4.01,2.552606148
"345","Iowa",2003,131,2032,513348,16062,31960,39370,13494,28947,11653,113816,39723,0.0227,4.01,2.552606148
"346","Jackson",2003,144,2122,493651,20148,24501,15814,10316,21665,12609,117726,16044,0.0227,4.01,2.552606148
"347","Jasper",2003,137,2302,1067409,37703,28311,34199,19524,31851,12268,137780,34534,0.0227,4.01,2.552606148
"348","Jefferson",2003,129,1698,424573,16194,26218,12721,11335,27875,9758,58076,12838,0.0227,4.01,2.552606148
"349","Johnson",2003,133,2698,3628289,116673,31098,16480,94126,30261,9664,116184,16838,0.0227,4.01,2.552606148
"350","Jones",2003,153,2677,480702,20406,23557,25652,9237,24325,12276,122545,25986,0.0227,4.01,2.552606148
"351","Keokuk",2003,121,2047,289768,11186,25905,16600,5074,23773,13729,103922,16800,0.0227,4.01,2.552606148
"352","Kossuth",2003,127,2686,486890,16525,29464,58050,10164,24723,22128,267336,58620,0.0227,4.01,2.552606148
"353","Lee",2003,106,1982,946981,36627,25855,16061,21160,29918,7398,65942,16240,0.0227,4.01,2.552606148
"354","Linn",2003,138,2926,6411172,196920,32557,22369,138648,35484,10886,115205,22704,0.0227,4.01,2.552606148
"355","Louisa",2003,130,2168,313716,12230,25651,16918,5581,24569,7611,69292,17165,0.0227,4.01,2.552606148
"356","Lucas",2003,91,1199,211963,9384,22588,1045,5274,25556,5311,34658,1130,0.0227,4.01,2.552606148
"357","Lyon",2003,124,2634,301145,11702,25734,37830,5952,22349,10472,262325,38315,0.0227,4.01,2.552606148
"358","Madison",2003,117,1808,403743,14481,27881,12713,6335,24007,5690,71288,12955,0.0227,4.01,2.552606148
"359","Mahaska",2003,112,1954,579737,22156,26166,23999,11412,25650,10856,137978,24302,0.0227,4.01,2.552606148
"360","Marion",2003,112,1793,858845,32547,26388,14073,22170,29822,7561,65048,14278,0.0227,4.01,2.552606148
"361","Marshall",2003,135,2846,1127325,39397,28614,22437,23396,29265,10942,134362,22976,0.0227,4.01,2.552606148
"362","Mills",2003,114,1907,495541,14621,33892,19528,5878,26637,7114,43214,19609,0.0227,4.01,2.552606148
"363","Mitchell",2003,132,2409,275389,10830,25428,23572,5848,24399,9774,151527,24034,0.0227,4.01,2.552606148
"364","Monona",2003,130,1914,262127,9819,26696,34155,5286,21306,10363,100060,34340,0.0227,4.01,2.552606148
"365","Monroe",2003,91,1200,213609,7954,26856,800,4565,31054,6258,48590,924,0.0227,4.01,2.552606148
"366","Montgomery",2003,113,1798,294259,11211,26247,21648,6996,24409,7074,73654,22083,0.0227,4.01,2.552606148
"367","Muscatine",2003,143,2528,1223940,41654,29383,12791,26896,33790,8297,76665,12977,0.0227,4.01,2.552606148
"368","O'Brien",2003,131,2993,421895,14762,28580,53313,8916,21649,11734,208784,53562,0.0227,4.01,2.552606148
"369","Osceola",2003,124,2561,175343,6888,25456,32714,3620,23903,9300,154661,33127,0.0227,4.01,2.552606148
"370","Page",2003,107,1772,416536,16356,25467,20831,8739,24281,9252,72967,20990,0.0227,4.01,2.552606148
"371","Palo Alto",2003,127,2532,252063,9748,25858,39167,5102,22726,12911,194685,39516,0.0227,4.01,2.552606148
"372","Plymouth",2003,121,2564,728911,24858,29323,60133,14913,28748,14477,274907,60673,0.0227,4.01,2.552606148
"373","Pocahontas",2003,126,2762,218050,8170,26689,40594,4140,23557,12222,125085,40861,0.0227,4.01,2.552606148
"374","Polk",2003,131,2483,14239546,388277,36674,16121,313631,37584,5843,75293,16486,0.0227,4.01,2.552606148
"375","Pottawattamie",2003,136,2242,2618863,88821,29485,25901,46040,27835,15055,169483,26174,0.0227,4.01,2.552606148
"376","Poweshiek",2003,132,2053,552004,19060,28961,24883,13070,28953,10758,101618,25220,0.0227,4.01,2.552606148
"377","Ringgold",2003,99,1017,108512,5332,20351,1840,2980,21590,7442,61034,2033,0.0227,4.01,2.552606148
"378","Sac",2003,142,2678,296136,10967,27002,27807,5482,22454,10877,193443,28247,0.0227,4.01,2.552606148
"379","Scott",2003,164,3697,5061223,158048,32023,17379,103444,30676,8247,98040,17637,0.0227,4.01,2.552606148
"380","Shelby",2003,128,2227,348247,12819,27166,22569,7133,22811,10740,123204,22990,0.0227,4.01,2.552606148
"381","Sioux",2003,136,3072,910619,32318,28177,125789,22388,24728,18209,622730,126976,0.0227,4.01,2.552606148
"382","Story",2003,141,2873,2303336,82068,28066,29704,53801,28523,10616,111988,30015,0.0227,4.01,2.552606148
"383","Tama",2003,136,2369,430458,18030,23875,22072,7898,24057,14215,128032,22366,0.0227,4.01,2.552606148
"384","Taylor",2003,103,1436,149373,6747,22139,14815,3188,20437,9080,68083,14964,0.0227,4.01,2.552606148
"385","Union",2003,117,1497,280750,12004,23388,-465,7902,24408,6150,74713,-264,0.0227,4.01,2.552606148
"386","Van Buren",2003,106,1355,169255,7672,22061,8457,3428,23721,6513,58344,8601,0.0227,4.01,2.552606148
"387","Wapello",2003,129,1764,878826,35750,24583,786,20660,26671,6651,48545,873,0.0227,4.01,2.552606148
"388","Warren",2003,118,2124,1200325,42187,28452,3732,14430,25402,7009,62021,3852,0.0227,4.01,2.552606148
"389","Washington",2003,126,2546,610966,21190,28833,24195,10101,24162,14155,177756,24592,0.0227,4.01,2.552606148
"390","Wayne",2003,92,1208,141242,6614,21355,10682,3289,20745,8999,44212,10754,0.0227,4.01,2.552606148
"391","Webster",2003,132,2825,1077284,39377,27358,38875,24313,29131,13387,144154,39159,0.0227,4.01,2.552606148
"392","Winnebago",2003,121,2368,289745,11412,25390,15059,6561,23192,9881,105762,15396,0.0227,4.01,2.552606148
"393","Winneshiek",2003,120,1904,567061,21006,26995,18018,15234,25492,17341,168478,18507,0.0227,4.01,2.552606148
"394","Woodbury",2003,127,2039,2842041,102039,27852,41538,61746,28419,13971,149837,41861,0.0227,4.01,2.552606148
"395","Worth",2003,112,2215,178489,7734,23078,12599,3090,22967,8528,66821,12657,0.0227,4.01,2.552606148
"396","Wright",2003,131,2804,452716,13831,32732,62125,7854,26567,12889,209976,62949,0.0227,4.01,2.552606148
"397","Adair",2004,114,1766,251144,8019,31319,42667,5416,25489,11064,96878,42885,0.0268,4.27,3.479774184
"398","Adams",2004,121,1697,136438,4307,31678,32241,2555,24832,8283,51927,32325,0.0268,4.27,3.479774184
"399","Allamakee",2004,125,1789,381096,14324,26605,35728,9073,23955,10670,107177,36036,0.0268,4.27,3.479774184
"400","Appanoose",2004,94,1270,326450,13462,24250,12333,7535,25550,5465,33621,12370,0.0268,4.27,3.479774184
"401","Audubon",2004,133,2421,225702,6430,35101,55908,3831,23905,12462,133170,56214,0.0268,4.27,3.479774184
"402","Benton",2004,145,3015,790134,26181,30180,60380,11047,26933,17468,153511,60745,0.0268,4.27,3.479774184
"403","Black Hawk",2004,148,3311,3743637,126682,29551,40752,87273,32117,13022,124394,41169,0.0268,4.27,3.479774184
"404","Boone",2004,135,3284,840453,26372,31869,37519,13691,30165,14042,111354,37858,0.0268,4.27,3.479774184
"405","Bremer",2004,127,3027,727323,23728,30653,36187,13720,27899,11716,111869,36374,0.0268,4.27,3.479774184
"406","Buchanan",2004,146,2976,572815,20910,27394,40605,9789,25877,13881,165174,40928,0.0268,4.27,3.479774184
"407","Buena Vista",2004,143,3223,573830,20000,28692,76271,13474,24607,15768,217579,76632,0.0268,4.27,3.479774184
"408","Butler",2004,146,2900,443492,14985,29596,67784,6792,24019,15729,155666,68240,0.0268,4.27,3.479774184
"409","Calhoun",2004,140,3302,312471,10382,30097,60422,5593,22701,17451,159497,60699,0.0268,4.27,3.479774184
"410","Carroll",2004,141,3054,685621,20936,32748,84765,16384,25050,16107,294100,85246,0.0268,4.27,3.479774184
"411","Cass",2004,132,2279,430529,14142,30443,51711,8799,24712,13011,126155,51951,0.0268,4.27,3.479774184
"412","Cedar",2004,145,3280,572036,18248,31348,44136,9139,25251,12401,134449,44442,0.0268,4.27,3.479774184
"413","Cerro Gordo",2004,139,2995,1420525,44993,31572,54182,33657,29428,15988,110436,54423,0.0268,4.27,3.479774184
"414","Cherokee",2004,133,2890,394369,12510,31524,70092,7781,26550,13932,157066,70280,0.0268,4.27,3.479774184
"415","Chickasaw",2004,123,2523,347896,12691,27413,38309,6988,25374,11961,157771,38707,0.0268,4.27,3.479774184
"416","Clarke",2004,94,1327,230703,9307,24788,15951,6269,25447,4797,53436,16195,0.0268,4.27,3.479774184
"417","Clay",2004,129,2974,532582,16960,31402,60990,12059,28365,14793,164312,61393,0.0268,4.27,3.479774184
"418","Clayton",2004,146,2430,500479,18358,27262,48391,10665,26025,17519,185487,48782,0.0268,4.27,3.479774184
"419","Clinton",2004,162,2939,1373961,49498,27758,47876,28832,28248,17016,151131,48157,0.0268,4.27,3.479774184
"420","Crawford",2004,134,2607,490295,16941,28941,77275,10417,27171,16055,169640,77543,0.0268,4.27,3.479774184
"421","Dallas",2004,123,2947,1754900,50387,34828,53119,27358,33615,12343,118798,53644,0.0268,4.27,3.479774184
"422","Davis",2004,104,1461,192766,8612,22383,9071,4186,22753,7324,73722,9173,0.0268,4.27,3.479774184
"423","Decatur",2004,94,1104,180211,8580,21004,17126,4290,20625,6308,54123,17212,0.0268,4.27,3.479774184
"424","Delaware",2004,144,3059,487454,18066,26982,42452,10144,25871,17034,232490,42842,0.0268,4.27,3.479774184
"425","Des Moines",2004,131,2840,1197722,40562,29528,25323,27236,30150,7802,52499,25384,0.0268,4.27,3.479774184
"426","Dickinson",2004,122,2771,599950,16506,36347,31776,13178,25804,8303,76511,31922,0.0268,4.27,3.479774184
"427","Dubuque",2004,156,2949,2715099,90462,30014,55200,62965,30936,14232,179320,55522,0.0268,4.27,3.479774184
"428","Emmet",2004,124,3064,305295,10553,28930,34889,6361,26059,10389,120815,35052,0.0268,4.27,3.479774184
"429","Fayette",2004,140,2671,527984,21415,24655,54198,11386,23468,19310,208208,54616,0.0268,4.27,3.479774184
"430","Floyd",2004,129,2781,469037,16586,28279,39520,8674,25834,13419,126584,39882,0.0268,4.27,3.479774184
"431","Franklin",2004,139,2962,341131,10716,31834,69792,6319,27395,18040,200084,70170,0.0268,4.27,3.479774184
"432","Fremont",2004,114,2342,254513,7655,33248,46904,4791,30284,9291,66688,47046,0.0268,4.27,3.479774184
"433","Greene",2004,138,2909,308179,9932,31029,55459,5362,25185,15932,132677,55715,0.0268,4.27,3.479774184
"434","Grundy",2004,155,3493,411202,12383,33207,58767,6031,28112,14897,151743,59176,0.0268,4.27,3.479774184
"435","Guthrie",2004,124,2388,355319,11389,31198,42287,5039,25636,12851,127057,42676,0.0268,4.27,3.479774184
"436","Hamilton",2004,138,3442,496608,16285,30495,66262,11060,27931,16091,244511,67062,0.0268,4.27,3.479774184
"437","Hancock",2004,135,2986,388259,11838,32798,48308,10623,31122,14938,168508,48626,0.0268,4.27,3.479774184
"438","Hardin",2004,142,3080,541750,18164,29825,91768,10396,27276,16406,256836,92464,0.0268,4.27,3.479774184
"439","Harrison",2004,131,2460,468550,15412,30402,56437,6641,24845,13414,100952,56697,0.0268,4.27,3.479774184
"440","Henry",2004,119,2677,549418,20225,27165,31890,13970,29522,10870,88683,32044,0.0268,4.27,3.479774184
"441","Howard",2004,110,2190,276186,9792,28205,32569,6845,25480,11466,122685,32838,0.0268,4.27,3.479774184
"442","Humboldt",2004,129,3260,320391,10121,31656,44904,6435,25548,13316,96763,45087,0.0268,4.27,3.479774184
"443","Ida",2004,145,2935,248446,7457,33317,48971,5109,27958,10920,105242,49183,0.0268,4.27,3.479774184
"444","Iowa",2004,135,2370,544447,16108,33800,51061,13670,29775,13692,123876,51396,0.0268,4.27,3.479774184
"445","Jackson",2004,146,2427,527961,20146,26207,31894,10275,22053,11220,122941,32125,0.0268,4.27,3.479774184
"446","Jasper",2004,137,2687,1104443,37645,29338,68964,19115,32617,16887,147912,69274,0.0268,4.27,3.479774184
"447","Jefferson",2004,131,1916,458168,16298,28112,26049,11479,28923,8989,59431,26154,0.0268,4.27,3.479774184
"448","Johnson",2004,136,3169,3890429,118891,32723,38049,96221,31262,10340,125324,38389,0.0268,4.27,3.479774184
"449","Jones",2004,146,2883,508216,20613,24655,34893,9379,25169,14216,133886,35196,0.0268,4.27,3.479774184
"450","Keokuk",2004,126,2281,318211,11061,28769,42813,4904,23493,14812,113362,42992,0.0268,4.27,3.479774184
"451","Kossuth",2004,136,3119,547687,16437,33320,100943,10205,25926,27573,297077,101503,0.0268,4.27,3.479774184
"452","Lee",2004,111,2341,991144,36587,27090,28880,21232,31086,7554,68793,29043,0.0268,4.27,3.479774184
"453","Linn",2004,137,3275,6714097,198314,33856,42555,141011,37002,12848,124016,42883,0.0268,4.27,3.479774184
"454","Louisa",2004,129,2579,335984,12115,27733,30538,5737,25371,9048,73829,30766,0.0268,4.27,3.479774184
"455","Lucas",2004,101,1358,229937,9508,24184,10190,5346,25987,4897,34847,10261,0.0268,4.27,3.479774184
"456","Lyon",2004,134,2938,347989,11692,29763,78780,6002,23908,14755,285870,79295,0.0268,4.27,3.479774184
"457","Madison",2004,108,2136,443147,14733,30079,30013,6411,24845,6926,73001,30257,0.0268,4.27,3.479774184
"458","Mahaska",2004,120,2362,635450,22240,28572,56038,11813,26884,14857,149066,56328,0.0268,4.27,3.479774184
"459","Marion",2004,120,2136,918970,32618,28174,30012,22238,31836,8745,66305,30190,0.0268,4.27,3.479774184
"460","Marshall",2004,140,3187,1177824,39711,29660,46698,23507,30442,15370,137689,47175,0.0268,4.27,3.479774184
"461","Mills",2004,119,2310,547469,14715,37205,39872,6087,27034,7682,44324,39952,0.0268,4.27,3.479774184
"462","Mitchell",2004,129,2724,307824,10898,28246,48826,5758,25552,12573,163464,49232,0.0268,4.27,3.479774184
"463","Monona",2004,136,2251,282605,9681,29192,52286,5240,22124,12889,104772,52453,0.0268,4.27,3.479774184
"464","Monroe",2004,101,1418,231808,7969,29089,10510,4679,32505,4977,47006,10612,0.0268,4.27,3.479774184
"465","Montgomery",2004,111,2103,326831,11191,29205,45756,6998,26308,8656,75484,46155,0.0268,4.27,3.479774184
"466","Muscatine",2004,143,2976,1341856,41758,32134,24856,27352,35410,9839,82212,25033,0.0268,4.27,3.479774184
"467","O'Brien",2004,138,3463,461259,14564,31671,80727,8934,22855,14785,232336,80975,0.0268,4.27,3.479774184
"468","Osceola",2004,132,2963,206812,6863,30134,61062,3619,25578,11496,171171,61490,0.0268,4.27,3.479774184
"469","Page",2004,112,1994,466930,16227,28775,49866,8815,25477,10396,74001,50014,0.0268,4.27,3.479774184
"470","Palo Alto",2004,127,2937,288640,9753,29595,68851,5141,23868,15667,215336,69199,0.0268,4.27,3.479774184
"471","Plymouth",2004,129,3064,819085,25042,32708,115154,15069,30343,19439,307356,115644,0.0268,4.27,3.479774184
"472","Pocahontas",2004,127,3210,248856,8003,31095,71365,4125,23824,16918,135307,71627,0.0268,4.27,3.479774184
"473","Polk",2004,140,2893,15306331,392164,39030,29120,316453,39125,8222,79210,29442,0.0268,4.27,3.479774184
"474","Pottawattamie",2004,132,2627,2751576,89762,30654,73173,47209,29260,18457,186683,73446,0.0268,4.27,3.479774184
